timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-12-03,337.07,340.42,328.55,330.24,330.24,430657,0.0000,1.0
2020-12-02,350.7,352.5,335.5996,339.13,339.13,413050,0.0000,1.0
2020-12-01,346.11,353.77,342.13,353.1,353.1,739944,0.0000,1.0
2020-11-30,343.99,346.82,337.5744,346.11,346.11,3029351,0.0000,1.0
2020-11-27,336.55,344.22,333.75,343.12,343.12,310762,0.0000,1.0
2020-11-25,330.37,337.68,329.5,333.59,333.59,449121,0.0000,1.0
2020-11-24,332.65,337.71,325.38,328.28,328.28,417640,0.0000,1.0
2020-11-23,339.22,343.82,333.21,334.13,334.13,541927,0.0000,1.0
2020-11-20,336.52,341.18,330.88,339.87,339.87,431915,0.0000,1.0
2020-11-19,326.43,340.36,326.43,338.65,338.65,546102,0.0000,1.0
2020-11-18,330.16,332.18,321.57,322.44,322.44,552349,0.0000,1.0
2020-11-17,341.72,344.62,327.15,329.45,329.45,420867,0.0000,1.0
2020-11-16,338.16,341.26,333.54,340.8,340.8,381079,0.0000,1.0
2020-11-13,340.41,344.785,338.24,340.63,340.63,265192,0.0000,1.0
2020-11-12,349.36,350.74,336.971,339.53,339.53,272486,0.0000,1.0
2020-11-11,340.58,349.72,336.03,346.07,346.07,496611,0.0000,1.0
2020-11-10,322.68,340.8,322.49,339.71,339.71,566133,0.5800,1.0
2020-11-09,373.17,376.5,320.92,322.3,321.75066267,975522,0.0000,1.0
2020-11-06,386.27,391.495,380.89,382.89,382.237391343,440075,0.0000,1.0
2020-11-05,380.95,391.11,379.4,383.92,383.265635781,326650,0.0000,1.0
2020-11-04,368.53,381.15,364.996,377.17,376.527140674,433034,0.0000,1.0
2020-11-03,360.18,367.71,357.92,364.18,363.559281201,255982,0.0000,1.0
2020-11-02,353.49,360.465,349.6317,357.29,356.681024714,337273,0.0000,1.0
2020-10-30,357.62,359.5,344.74,349.83,349.233739751,326466,0.0000,1.0
2020-10-29,361.11,367.375,359.75,360.64,360.025314878,350494,0.0000,1.0
2020-10-28,363.03,366.6,357.61,362.85,362.231548091,306822,0.0000,1.0
2020-10-27,367.0,370.12,361.985,366.99,366.364491757,333458,0.0000,1.0
2020-10-26,358.57,362.75,356.955,362.55,361.93205942,357759,0.0000,1.0
2020-10-23,353.52,362.96,353.01,361.71,361.09349114,314476,0.0000,1.0
2020-10-22,365.99,371.165,346.95,350.26,349.663006847,511499,0.0000,1.0
2020-10-21,358.89,360.0,353.91,355.97,355.36327456,411740,0.0000,1.0
2020-10-20,353.635,360.245,353.26,355.63,355.023854066,267295,0.0000,1.0
2020-10-19,360.21,361.7659,351.66,353.55,352.947399277,281521,0.0000,1.0
2020-10-16,361.05,363.98,356.71,359.44,358.827360193,291022,0.0000,1.0
2020-10-15,355.27,363.36,353.18,360.38,359.76575803,330495,0.0000,1.0
2020-10-14,353.15,363.44,352.445,360.31,359.69587734,382304,0.0000,1.0
2020-10-13,353.91,355.5,348.99,351.99,351.390058186,388985,0.0000,1.0
2020-10-12,349.99,353.47,347.0,352.69,352.088865086,281373,0.0000,1.0
2020-10-09,347.4744,350.04,343.57,346.55,345.959330277,454129,0.0000,1.0
2020-10-08,333.01,342.8799,333.01,340.85,340.26904552,410426,0.0000,1.0
2020-10-07,329.05,334.0,327.75,331.64,331.074743307,547574,0.0000,1.0
2020-10-06,327.63,331.61,321.115,328.01,327.450930383,8139038,0.0000,1.0
2020-10-05,323.01,329.425,321.3,327.75,327.191373534,670610,0.0000,1.0
2020-10-02,319.88,327.29,319.08,322.79,322.2398275,729765,0.0000,1.0
2020-10-01,338.28,338.57,325.93,328.28,327.720470187,380641,0.0000,1.0
2020-09-30,328.56,338.88,328.56,334.54,333.969800464,336782,0.0000,1.0
2020-09-29,325.61,330.45,324.76,328.54,327.980027036,319212,0.0000,1.0
2020-09-28,320.67,325.965,315.485,325.2,324.645719827,308424,0.0000,1.0
2020-09-25,308.79,316.57,306.585,315.1,314.562934556,204056,0.0000,1.0
2020-09-24,306.22,313.74,304.43,310.1,309.571456699,231589,0.0000,1.0
2020-09-23,306.98,310.06,305.01,307.28,306.756263187,245176,0.0000,1.0
2020-09-22,303.29,309.59,301.81,307.9,307.375206442,286247,0.0000,1.0
2020-09-21,295.12,301.23,294.56,300.49,299.977836257,258222,0.0000,1.0
2020-09-18,303.39,305.715,297.37,301.26,300.746523847,534580,0.0000,1.0
2020-09-17,297.35,304.5,293.38,304.29,303.771359429,258555,0.0000,1.0
2020-09-16,309.79,311.71,300.09,300.22,299.708296453,262862,0.0000,1.0
2020-09-15,312.74,313.55,307.245,308.48,307.954217873,237401,0.0000,1.0
2020-09-14,303.51,309.74,300.885,308.38,307.854388316,361680,0.0000,1.0
2020-09-11,302.83,305.5,299.35,300.32,299.80812601,205970,0.0000,1.0
2020-09-10,303.94,305.2226,298.24,300.18,299.66836463,253854,0.0000,1.0
2020-09-09,297.46,304.55,296.87,302.42,301.90454671,271102,0.0000,1.0
2020-09-08,289.72,298.09,285.925,293.12,292.620397896,350905,0.0000,1.0
2020-09-04,308.27,313.825,291.37,295.0,294.49719357,667498,0.0000,1.0
2020-09-03,328.07,328.9,307.8811,309.68,309.152172559,316722,0.0000,1.0
2020-09-02,332.21,334.3,325.22,329.88,329.317743101,252032,0.0000,1.0
2020-09-01,329.71,331.91,328.55,329.92,329.357674924,314578,0.0000,1.0
2020-08-31,330.74,334.32,326.65,327.84,327.281220136,233879,0.0000,1.0
2020-08-28,337.35,338.75,329.23,330.9,330.336004584,185869,0.0000,1.0
2020-08-27,337.8,342.15,334.665,336.67,336.096170031,233613,0.0000,1.0
2020-08-26,335.96,337.875,333.785,335.85,335.277567663,177352,0.0000,1.0
2020-08-25,333.75,336.41,332.43,335.4,334.828334656,177040,0.0000,1.0
2020-08-24,335.71,336.55,332.98,334.72,334.149493667,265733,0.0000,1.0
2020-08-21,325.0,333.59,324.33,333.37,332.801794646,259404,0.0000,1.0
2020-08-20,325.4,328.63,323.7,325.5,324.945208499,228993,0.0000,1.0
2020-08-19,329.17,329.7,324.31,325.53,324.975157366,152025,0.0000,1.0
2020-08-18,328.13,332.17,324.41,328.05,327.490862206,255236,0.0000,1.0
2020-08-17,321.18,329.95,319.8,326.03,325.474305151,213853,0.0000,1.0
2020-08-14,319.87,322.7462,317.01,319.32,318.775741867,130095,0.0000,1.0
2020-08-13,322.77,329.5289,319.85,320.11,319.564395369,203351,0.0000,1.0
2020-08-12,317.74,325.855,314.78,324.36,323.807151547,337134,0.5800,1.0
2020-08-11,324.9,324.9,314.895,316.18,315.077691808,475477,0.0000,1.0
2020-08-10,329.78,329.78,321.61,325.49,324.355234065,197411,0.0000,1.0
2020-08-07,327.24,331.12,326.04,328.6,327.454391575,156849,0.0000,1.0
2020-08-06,327.73,329.16,324.325,328.55,327.404565892,130474,0.0000,1.0
2020-08-05,324.03,328.0,321.56,327.99,326.846518237,166359,0.0000,1.0
2020-08-04,321.49,326.185,320.21,324.81,323.67760477,230762,0.0000,1.0
2020-08-03,317.87,327.61,317.87,322.22,321.096634368,307233,0.0000,1.0
2020-07-31,315.73,316.77,312.1701,316.7,315.595878916,284065,0.0000,1.0
2020-07-30,310.85,316.72,310.24,314.94,313.842014859,371959,0.0000,1.0
2020-07-29,307.55,314.5893,307.55,313.95,312.855466327,317674,0.0000,1.0
2020-07-28,311.0,311.0,305.23,306.63,305.560986271,240594,0.0000,1.0
2020-07-27,306.67,311.48,305.09,310.33,309.248086846,286057,0.0000,1.0
2020-07-24,298.0,306.69,295.09,304.27,303.209214013,468244,0.0000,1.0
2020-07-23,312.0,318.71,297.165,300.58,299.532078575,826501,0.0000,1.0
2020-07-22,297.07,303.959,297.015,301.9,300.847476618,426814,0.0000,1.0
2020-07-21,304.63,304.66,295.69,296.42,295.386581712,320234,0.0000,1.0
2020-07-20,295.84,302.58,292.15,301.35,300.2993941,340241,0.0000,1.0
2020-07-17,286.09,294.94,283.74,294.39,293.363658965,311594,0.0000,1.0
2020-07-16,287.48,289.47,280.45,283.6,282.611276478,319031,0.0000,1.0
2020-07-15,286.36,288.53,282.36,287.55,286.54750547,255263,0.0000,1.0
